id,title,original_title,release_date,vote_average,vote_count,popularity,genres,poster_path,overview,source
1628448,우린 망했다,माँ बहन,2026-06-04,6.7,9,108.9136,코미디|스릴러|드라마,https://image.tmdb.org/t/p/w500/dpQIeEunpgj0C4rngb6OFb4zSd1.jpg,소원했던 딸들과 어머니 앞에 해결해야 할 문제가 닥친다. 이제 그들은 뭐 하나 비밀로 할 수 없는 참견 많은 동네에서 범죄를 은폐해야 한다.,movie/popular
270473,ฟัด จัง โตะ,ฟัด จัง โตะ,2013-12-25,5.5,2,91.1042,코미디|로맨스,https://image.tmdb.org/t/p/w500/4x32HOq15WeTxNcda6oJaWmbNxp.jpg,,movie/popular
1083381,백룸,Backrooms,2026-05-27,6.901,559,120.7205,공포|미스터리|SF,https://image.tmdb.org/t/p/w500/c3Cb7h4ecFsGfUM02KF638kbbtC.jpg,존재해서는 안 될 미지의 공간 ‘백룸’ 속으로 사라진 사람들의 극한 상황을 그린 공간 스릴러,movie/popular
1327819,호퍼스,Hoppers,2026-03-04,8.2,1608,120.5732,모험|애니메이션|코미디|가족|SF,https://image.tmdb.org/t/p/w500/vJu9THzQ26Q5sWOVnhOkuRH5M1P.jpg,"오랜 연구 끝에 개발한 ‘호핑’ 기술로 동물 세계에 가까이 갈 수 있음을 알게 된 주인공 ‘메이블’은 마치 ‘아바타’ 같다며 신기해하고, 직접 로봇 비버가 되어 동물들의 세계에 잠입한다. 그들의 말을 알아듣게 된 ‘메이블’은 진짜 동물이 된 것처럼 동물 세상을 경험하는 가운데, 연못에 있던 다른 비버에게 달려드는 곰을 막아서지만 그들에겐 그들만의 질서와 법칙이 있다는 사실을 알게 된다. ‘호핑‘ 기술을 개발한 박사는 이 기술을 자연계 질서를 어지럽히는 데 쓰면 안 된다고 경고하지만, ‘메이블’은 통신을 끊어버려 이후 예측불가의 모험이 펼쳐질 것을 예고한다.",movie/popular
83533,아바타: 불과 재,Avatar: Fire and Ash,2025-12-17,7.587,3463,108.0377,SF|모험|판타지,https://image.tmdb.org/t/p/w500/l18o0AK18KS118tWeROOKYkF0ng.jpg,"인간들과의 전쟁으로 첫째 아들 ‘네테이얌’을 잃은 후, ‘제이크’와 ‘네이티리’는 깊은 슬픔에 빠진다. 상실에 빠진 이들 앞에 '바랑'이 이끄는 재의 부족이 등장하면서, 판도라는 더욱 큰 위험에 빠지게 되고, ‘설리’ 가족은 선택의 기로에 서게 되는데…",movie/popular
1536233,The Summoning of Baby Blue,The Summoning of Baby Blue,2025-10-15,5.0,6,110.437,공포,https://image.tmdb.org/t/p/w500/fDyjVv5ryBYDiE1sN9mbBbZycBL.jpg,,movie/popular
1288341,세븐 스나이퍼스,Seven Snipers,2026-04-30,5.7,33,97.5032,액션|스릴러,https://image.tmdb.org/t/p/w500/xIZ8huVdXCL7OMtsjd3XvmFP5sK.jpg,과거 자신을 포로로 잡았던 무자비한 군벌에게 쫓기게 된 전직 엘리트 저격수. 그녀는 외딴 호주의 농장에서 남몰래 키워온 딸을 지키기 위해 목숨을 건 사투를 벌여야만 한다.,movie/popular
204407,Bosco d'amore,Bosco d'amore,1981-09-08,4.667,6,93.3397,드라마|로맨스,https://image.tmdb.org/t/p/w500/jNV46xSIONTEvIAWon6NnveH7eG.jpg,,movie/popular
1694978,Chum,Chum,2026-05-27,5.1,11,101.948,공포,https://image.tmdb.org/t/p/w500/uJOW6pWxJ0i5sji9VXRR6Y1wXyE.jpg,,movie/popular
1430077,호컴,Hokum,2026-04-29,6.69,234,94.1962,공포,https://image.tmdb.org/t/p/w500/jKPWwsbAM6HKURPYQ1eG8DmKMKn.jpg,"소설가 옴 바우만은 부모님의 유골을 뿌리기 위해 외딴 숙소를 찾지만, 이내 허니문 스위트룸에 출몰한다는 마녀의 이야기에 사로잡힌다. 기괴한 환영과 충격적인 실종 사건이 이어지면서, 그는 결국 자신의 과거 속 어두운 구석을 마주해야만 하는 상황에 직면한다.",movie/popular
1311031,극장판 귀멸의 칼날: 무한성편,劇場版「鬼滅の刃」無限城編 第一章 猗窩座再来,2025-07-18,7.724,863,100.1295,애니메이션|액션|판타지,https://image.tmdb.org/t/p/w500/m6Dho6hDCcL5KI8mOQNemZAedFI.jpg,"혈귀로 변해버린 여동생 네즈코를 인간으로 되돌리기 위해 혈귀를 사냥하는 조직인 《귀살대》에 입대한 카마도 탄지로. 입대 후 동료인 아가츠마 젠이츠, 하시비라 이노스케와 함께 많은 혈귀와 싸우고, 성장하면서 세 사람의 우정과 유대는 깊어진다. 탄지로는 《귀살대》 최고위 검사인 《주》와도 함께 싸웠다. 「무한열차」에서는 염주・렌고쿠 쿄쥬로, 「유곽」에서는 음주・우즈이 텐겐, 「도공 마을」에서는 하주・토키토 무이치로, 연주・칸로지 미츠리와 함께 혈귀를 상대로 격렬한 전투를 벌였다. 그 후 다가올 혈귀와의 결전에 대비해 귀살대원들과 함께 《주》가 주도하는 합동 강화 훈련에 참가해 훈련을 받던 도중 《귀살대》의 본부인 우부야시키 저택에 나타난 키부츠지 무잔. 어르신의 위기에 달려온 《주》들과 탄지로였지만, 무잔의 술수로 의문의 공간으로 떨어지고 말았는데. 탄지로 일행이 떨어진 곳, 그곳은 혈귀의 본거지 《무한성》─ “귀살대”와 “혈귀”의 최종 결전의 포문이 열린다.",movie/popular
