id,runtime,budget,revenue,status,tagline,director,cast_top3,collection_name,production_countries
761053,102,0,0,Released,,Tosca Musk,"Melanie Zanetti, Giulio Berruti, Rhett Wellington Ramirez",가브리엘의 지옥 시리즈,United States of America
567,115,1000000,37042336,Released,,알프레드 히치콕,"제임스 스튜어트, 그레이스 켈리, Wendell Corey",,United States of America
569094,140,100000000,690897910,Released,"한 명을 구할 것인가, 모두를 구할 것인가","켐프 파워스, 저스틴 톰슨, 조아킴 도스 샌토스","셔믹 무어, 헤일리 스타인펠드, 브라이언 타이리 헨리",스파이더맨: 뉴 유니버스 시리즈,United States of America
1058694,125,10000000,21761164,Released,,Christopher Zalla,"에우헤니오 데르베스, Daniel Haddad, Jennifer Trejo",,"Mexico, United States of America"
73,119,20000000,23900000,Released,화만 내며 살기에는 인생이 너무 짧다,토니 케이,"에드워드 노튼, 에드워드 펄롱, Beverly D'Angelo",,United States of America
105,120,19000000,381109762,Released,과거로!,로버트 저메키스,"마이클 J. 폭스, 크리스토퍼 로이드, 크리스핀 글로버",빽 투 더 퓨쳐 시리즈,United States of America
128,135,23500000,176506186,Released,대자연의 수호신 원령공주가 온다,미야자키 하야오,"마츠다 요지, 이시다 유리코, 다나카 유코",,Japan
1184918,102,78000000,331982078,Released,너를 통해 더 넓은 세상을 만나다,크리스 샌더스,"루피타 뇽오, 페드로 파스칼, 킷 코너",와일드 로봇 시리즈,United States of America
1477317,0,0,0,Released,,"Dani Girdwood, Charlotte Fassler","Asha Banks, 매튜 브룸, Louisa Binder",Fault: London Collection,"Spain, United Kingdom, United States of America"
969681,0,0,0,Post Production,,데스틴 대니얼 크레턴,"톰 홀랜드, 젠데이아, 세이디 싱크",스파이더맨(MCU) 시리즈,United States of America
1305781,126,123000000,203356793,Released,,원화평,"오경, 사정봉, 우적",,China
1368337,172,250000000,0,Post Production,신에 맞서다,크리스토퍼 놀란,"맷 데이먼, 톰 홀랜드, 앤 해서웨이",,"United Kingdom, United States of America"
1480387,94,500000,21602976,Released,,Ian Tuason,"Nina Kiri, Adam DiMarco, Keana Bastidas",,"Canada, United States of America"
1108427,120,200000000,0,Post Production,더 생생하게 펼쳐질 운명적 항해,토마스 카일,"캐서린 라가이아, 드웨인 존슨, Rena Owen",,United States of America
1315772,90,0,0,Post Production,,피에르 코팽,"피에르 코팽, 트레이 파커, 앨리슨 제니",미니언즈 시리즈,United States of America
1700944,83,0,0,Released,,Darryl Yap,"Jerald Napoles, Gina Alajar, Louise delos Reyes",,Philippines
